did_buy,Recency,Frequency,MonetaryValue,AvgNonCashPay,ActivationDate,Age,SubscribedEmail,SubscribedPush,Male
0,160.0,8.142857142857142,247.44827586206895,2.9655172413793105,735599,24,False,True,0
0,720.0,4.857142857142857,271.65714285714284,0.0,735599,46,True,True,1
1,15.0,4.714285714285714,387.00735294117646,22.75735294117647,735599,27,True,True,0
0,177.0,14.142857142857142,260.11000000000007,26.67,735599,54,True,True,0
1,115.0,3.0,375.8181818181818,19.681818181818183,735599,48,False,False,1
1,28.0,26.285714285714285,293.8054054054054,30.654054054054065,735599,25,True,True,0
0,371.0,5.4,258.92727272727274,26.16363636363637,735599,27,False,True,1
1,364.0,6.714285714285714,173.58333333333334,31.333333333333346,735599,34,True,False,0
0,56.0,5.2727272727272725,220.84745762711864,9.711864406779661,735599,35,False,True,0
0,171.0,13.0,289.8301886792452,45.22641509433962,735599,22,True,True,1
0,553.0,2.5714285714285716,319.4736842105263,24.94736842105263,735599,21,False,True,0
0,153.0,9.142857142857142,327.50769230769237,32.04615384615385,735599,35,True,True,0
1,41.0,55.5,217.31736526946102,28.72754491017963,735599,35,True,True,0
0,282.0,9.125,380.2567567567567,63.5,735599,21,True,True,0
1,19.0,13.444444444444445,208.45901639344265,33.41803278688525,735599,36,False,True,1
0,315.0,4.583333333333333,331.0176785714285,37.94660714285715,735599,37,True,True,0
0,45.0,35.142857142857146,200.19635627530369,26.96761133603238,735599,23,True,True,0
1,83.0,2.4545454545454546,168.57142857142858,0.0,735599,27,False,True,0
0,389.0,6.0,242.10000000000002,18.93225806451613,735599,35,True,True,1
1,1.0,7.666666666666667,286.3333333333333,0.0,735599,21,True,True,0
1,126.0,9.857142857142858,232.57142857142858,23.05714285714285,735599,22,False,False,0
0,116.0,4.571428571428571,272.030303030303,20.272727272727273,735599,22,True,True,1
1,11.0,27.0,352.76146788990826,51.06422018348625,735599,30,True,True,0
1,27.0,16.4,260.6144578313253,15.578313253012045,735599,36,True,False,1
1,8.0,4.75,262.6551724137931,8.72413793103448,735599,32,False,False,0
0,281.0,7.428571428571429,297.9056603773585,26.39622641509434,735599,38,True,True,1
0,408.0,2.857142857142857,322.0,0.0,735599,35,False,False,1
1,102.0,1.5833333333333333,348.19999999999993,40.4,735599,26,False,False,1
1,21.0,6.857142857142857,302.1020408163265,29.918367346938776,735599,26,False,False,0
0,412.0,3.4285714285714284,200.76,8.0,735599,32,False,True,0
0,618.0,6.428571428571429,389.9347826086956,42.6086956521739,735599,27,False,False,0
0,249.0,8.0,330.5882352941176,21.823529411764707,735599,29,True,True,0
0,693.0,3.142857142857143,306.60869565217394,0.0,735599,30,False,False,1
1,32.0,10.571428571428571,349.89333333333326,52.78666666666667,735599,29,False,True,0
0,104.0,6.142857142857143,342.93181818181813,31.20454545454545,735599,48,True,False,1
1,59.0,9.333333333333334,365.859649122807,15.421052631578949,735599,23,True,False,0
1,912.0,1.1428571428571428,347.77777777777777,0.0,735599,28,True,True,0
1,104.0,14.5,292.03333333333336,26.266666666666666,735599,29,False,False,0
1,42.0,5.571428571428571,339.74999999999994,31.825,735599,33,False,False,1
0,100.0,2.5714285714285716,263.1578947368421,0.0,735599,24,True,True,0
1,39.0,9.0,268.359375,22.515624999999996,735599,23,False,False,1
0,762.0,3.142857142857143,250.78260869565221,14.08695652173913,735599,30,True,True,0
0,793.0,4.333333333333333,223.40740740740742,28.51851851851852,735600,32,False,False,1
0,653.0,4.0,367.96,33.2,735600,28,True,False,0
0,678.0,5.666666666666667,268.14285714285717,30.2,735600,23,True,True,1
1,14.0,12.636363636363637,232.48571428571424,29.750000000000007,735600,49,True,True,0
1,738.0,3.0,225.69230769230768,0.0,735600,30,True,True,0
0,155.0,5.0,381.8387096774194,24.516129032258064,735600,45,False,True,0
1,713.0,1.6666666666666667,195.9090909090909,18.181818181818176,735600,33,True,True,0
1,98.0,39.5,299.94537815126057,37.752100840336134,735600,38,False,False,0
1,27.0,8.166666666666666,310.22,37.07999999999999,735600,37,True,True,0
0,363.0,17.333333333333332,288.53333333333336,29.238095238095234,735600,21,False,True,0
1,12.0,20.666666666666668,291.9519999999998,44.76,735600,30,True,True,0
1,79.0,17.0,275.92753623188406,16.55072463768116,735600,30,False,False,0
1,25.0,6.333333333333333,178.92307692307693,15.743589743589741,735600,33,False,False,0
1,741.0,5.714285714285714,268.17048780487806,20.731951219512194,735600,31,True,True,0
1,3.0,32.166666666666664,153.91752577319588,30.845360824742265,735600,21,True,True,1
0,888.0,2.6666666666666665,196.8823529411765,23.294117647058822,735600,27,True,False,0
0,178.0,5.833333333333333,346.9166666666667,15.08333333333333,735600,28,True,False,1
0,238.0,6.166666666666667,253.1578947368422,33.13157894736842,735600,26,False,True,0
0,311.0,5.666666666666667,262.34285714285716,25.257142857142856,735600,22,False,True,1
0,765.0,4.166666666666667,529.0769230769231,46.15384615384615,735600,25,True,True,1
1,8.0,14.571428571428571,274.4077669902912,32.45631067961165,735600,26,False,False,0
1,173.0,31.75,362.5156249999999,55.74218749999998,735600,45,True,True,0
0,297.0,17.666666666666668,369.9158878504674,31.841121495327094,735600,28,True,False,1
0,720.0,3.8333333333333335,291.5,35.083333333333336,735600,23,True,True,1
1,14.0,53.166666666666664,287.3046875000001,32.767187500000006,735600,24,False,False,1
1,416.0,16.0,300.61224489795916,24.530612244897956,735600,29,True,False,0
0,599.0,2.6666666666666665,281.8888888888889,0.0,735600,30,False,False,1
0,295.0,13.833333333333334,317.3511904761905,34.41071428571429,735600,24,True,True,1
1,111.0,2.0,443.3076923076923,0.0,735600,31,True,True,1
1,154.0,2.7142857142857144,404.85,0.0,735600,26,True,True,0
1,67.0,36.833333333333336,167.36036036036037,12.617117117117122,735600,48,False,False,1
0,712.0,2.8333333333333335,247.77777777777777,24.27777777777778,735600,37,True,False,1
1,204.0,12.0,390.8767123287671,31.28767123287671,735600,32,False,False,0
